batch_id,test_id,varied_index,varied_value,input,original_output,manual_output,herbie_output,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T21:52:02,800,0,4.512637028200102e-62,"[4.512637028200102e-62, 1.0, 1.0, 1.0, 1.0]","[5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306]","[5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306]","[5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306, 5.343772820441341e+306]",0.0,0.0,0.0
2026-06-17T21:52:02,801,0,9.17697601460886e-62,"[9.17697601460886e-62, 1.0, 1.0, 1.0, 1.0]","[1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305]","[1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305]","[1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305, 1.5363919285783697e+305]",0.0,0.0,0.0
2026-06-17T21:52:02,802,0,1.8662455731852965e-61,"[1.8662455731852965e-61, 1.0, 1.0, 1.0, 1.0]","[4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303]","[4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303]","[4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303, 4.417291373561801e+303]",0.0,0.0,0.0
2026-06-17T21:52:02,803,0,3.795228988164921e-61,"[3.795228988164921e-61, 1.0, 1.0, 1.0, 1.0]","[1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302]","[1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302]","[1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302, 1.2700185880953483e+302]",0.0,0.0,0.0
2026-06-17T21:52:02,804,0,7.718042726833016e-61,"[7.718042726833016e-61, 1.0, 1.0, 1.0, 1.0]","[3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300]","[3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300]","[3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300, 3.65143948565762e+300]",0.0,0.0,0.0
2026-06-17T21:52:02,805,0,1.569554398930315e-60,"[1.569554398930315e-60, 1.0, 1.0, 1.0, 1.0]","[1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299]","[1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299]","[1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299, 1.0498279664878025e+299]",0.0,0.0,0.0
2026-06-17T21:52:02,806,0,3.1918727304225784e-60,"[3.1918727304225784e-60, 1.0, 1.0, 1.0, 1.0]","[3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297]","[3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297]","[3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297, 3.0183678616311785e+297]",0.0,0.0,0.0
2026-06-17T21:52:02,807,0,6.491047098564298e-60,"[6.491047098564298e-60, 1.0, 1.0, 1.0, 1.0]","[8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295]","[8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295]","[8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295, 8.678130930924371e+295]",0.0,0.0,0.0
2026-06-17T21:52:02,808,0,1.3200304646921323e-59,"[1.3200304646921323e-59, 1.0, 1.0, 1.0, 1.0]","[2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294]","[2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294]","[2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294, 2.495055603115911e+294]",0.0,0.0,0.0
2026-06-17T21:52:02,809,0,2.684436580502996e-59,"[2.684436580502996e-59, 1.0, 1.0, 1.0, 1.0]","[7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292]","[7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292]","[7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292, 7.1735521302811e+292]",0.0,0.0,0.0
