batch_id,test_id,varied_index,varied_value,input_real,input_imag,shape,original_derivative,manual_derivative,herbie_derivative,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T22:16:48,0,0,1e-06,"[1e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-5.0000000000000004e+36, 0.0, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 3.1547005383792515, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 0.0, 3.1547005383792515, 0.0, 0.0], [-5.0000000000000004e+36, 0.0, 0.0, 3.1547005383792515, 0.0], [-5.0000000000000004e+36, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-5.0000000000000004e+36, 1.1547005383792517, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 4.309401076758503, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-5.0000000000000004e+36, 1.1547005383792517, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 4.309401076758503, 0.0, 0.0, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-5.0000000000000004e+36, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
2026-06-17T22:16:48,1,0,1.1496402796661447e-06,"[1.1496402796661447e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-2.1656993907609646e+36, 0.0, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 3.1547005383792515, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 0.0, 3.1547005383792515, 0.0, 0.0], [-2.1656993907609646e+36, 0.0, 0.0, 3.1547005383792515, 0.0], [-2.1656993907609646e+36, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-2.1656993907609646e+36, 1.1547005383792517, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 4.309401076758503, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-2.1656993907609646e+36, 1.1547005383792517, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 4.309401076758503, 0.0, 0.0, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-2.1656993907609646e+36, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
2026-06-17T22:16:48,2,0,1.3216727726308489e-06,"[1.3216727726308489e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-9.380507702284932e+35, 0.0, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 3.1547005383792515, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 0.0, 3.1547005383792515, 0.0, 0.0], [-9.380507702284932e+35, 0.0, 0.0, 3.1547005383792515, 0.0], [-9.380507702284932e+35, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-9.380507702284932e+35, 1.1547005383792517, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-9.380507702284932e+35, 1.1547005383792517, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-9.380507702284932e+35, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
2026-06-17T22:16:48,3,0,1.5194482559544582e-06,"[1.5194482559544582e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-4.063071963173398e+35, 0.0, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 3.1547005383792515, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 0.0, 3.1547005383792515, 0.0, 0.0], [-4.063071963173398e+35, 0.0, 0.0, 3.1547005383792515, 0.0], [-4.063071963173398e+35, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-4.063071963173398e+35, 1.1547005383792517, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-4.063071963173398e+35, 1.1547005383792517, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-4.063071963173398e+35, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
2026-06-17T22:16:48,4,0,1.7468189179137155e-06,"[1.7468189179137155e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-1.759878495052539e+35, 0.0, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 3.1547005383792515, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 0.0, 3.1547005383792515, 0.0, 0.0], [-1.759878495052539e+35, 0.0, 0.0, 3.1547005383792515, 0.0], [-1.759878495052539e+35, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-1.759878495052539e+35, 1.154700538379252, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-1.759878495052539e+35, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-1.759878495052539e+35, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]","[[-1.759878495052539e+35, 1.154700538379252, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 4.309401076758503, 0.0, 0.0, 0.0], [-1.759878495052539e+35, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-1.759878495052539e+35, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-1.759878495052539e+35, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]",1.154700538379252,1.154700538379252,0.0
2026-06-17T22:16:48,5,0,2.008213389316436e-06,"[2.008213389316436e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-7.6227355690972145e+34, 0.0, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 3.1547005383792515, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 0.0, 3.1547005383792515, 0.0, 0.0], [-7.6227355690972145e+34, 0.0, 0.0, 3.1547005383792515, 0.0], [-7.6227355690972145e+34, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-7.6227355690972145e+34, 1.154700538379252, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]","[[-7.6227355690972145e+34, 1.154700538379252, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-7.6227355690972145e+34, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]",1.154700538379252,1.154700538379252,0.0
2026-06-17T22:16:48,6,0,2.308723002523049e-06,"[2.308723002523049e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-3.301710755585111e+34, 0.0, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 3.1547005383792515, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 0.0, 3.1547005383792515, 0.0, 0.0], [-3.301710755585111e+34, 0.0, 0.0, 3.1547005383792515, 0.0], [-3.301710755585111e+34, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-3.301710755585111e+34, 1.154700538379252, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-3.301710755585111e+34, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-3.301710755585111e+34, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]","[[-3.301710755585111e+34, 1.154700538379252, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-3.301710755585111e+34, 1.154700538379252, 3.1547005383792515, 0.0, 0.0], [-3.301710755585111e+34, 1.154700538379252, 0.0, 3.1547005383792515, 0.0], [-3.301710755585111e+34, 1.154700538379252, 0.0, 0.0, 3.1547005383792515]]",1.154700538379252,1.154700538379252,0.0
2026-06-17T22:16:48,7,0,2.6542009582922486e-06,"[2.6542009582922486e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-1.430102594367954e+34, 0.0, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 3.1547005383792515, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 0.0, 3.1547005383792515, 0.0, 0.0], [-1.430102594367954e+34, 0.0, 0.0, 3.1547005383792515, 0.0], [-1.430102594367954e+34, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-1.430102594367954e+34, 1.1547005383792517, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-1.430102594367954e+34, 1.1547005383792517, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 4.309401076758503, 0.0, 0.0, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-1.430102594367954e+34, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
2026-06-17T22:16:48,8,0,3.0513763319812503e-06,"[3.0513763319812503e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-6.194344634696702e+33, 0.0, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 3.1547005383792515, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 0.0, 3.1547005383792515, 0.0, 0.0], [-6.194344634696702e+33, 0.0, 0.0, 3.1547005383792515, 0.0], [-6.194344634696702e+33, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-6.194344634696702e+33, 1.1547005383792515, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 4.309401076758503, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 3.1547005383792515, 0.0, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 0.0, 3.1547005383792515, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 0.0, 0.0, 3.1547005383792515]]","[[-6.194344634696702e+33, 1.1547005383792515, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 4.309401076758503, 0.0, 0.0, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 3.1547005383792515, 0.0, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 0.0, 3.1547005383792515, 0.0], [-6.194344634696702e+33, 1.1547005383792515, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792515,1.1547005383792515,0.0
2026-06-17T22:16:48,9,0,3.5079851396655867e-06,"[3.5079851396655867e-06, 0.5, 0.5, 0.5, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0]","(5, 5)","[[-2.6830176803051854e+33, 0.0, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 3.1547005383792515, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 0.0, 3.1547005383792515, 0.0, 0.0], [-2.6830176803051854e+33, 0.0, 0.0, 3.1547005383792515, 0.0], [-2.6830176803051854e+33, 0.0, 0.0, 0.0, 3.1547005383792515]]","[[-2.6830176803051854e+33, 1.1547005383792517, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 4.309401076758503, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]","[[-2.6830176803051854e+33, 1.1547005383792517, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 4.309401076758503, 0.0, 0.0, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 3.1547005383792515, 0.0, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 0.0, 3.1547005383792515, 0.0], [-2.6830176803051854e+33, 1.1547005383792517, 0.0, 0.0, 3.1547005383792515]]",1.1547005383792517,1.1547005383792517,0.0
