batch_id,test_id,varied_index,varied_value,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T00:55:35,0,4,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 0.0]","[96.39928927983756, 114.4254565374209, 94.0118818794186, 125.36528385321729, 82.85685455461375]","[32.41094666932956, 25.497383990985877, 6.563323441043321, 66.14270461101671, 22.841562015854578]","[96.39928927983756, 114.4254565374209, 94.0118818794186, 125.36528385321729, 82.85685455461375]","[32.41094666932956, 25.497383990985877, 6.563323441043321, 66.14270461101671, 22.841562015854578]","[96.39928927983756, 114.4254565374209, 94.0118818794186, 125.36528385321729, 82.85685455461375]","[32.41094666932956, 25.497383990985877, 6.563323441043321, 66.14270461101671, 22.841562015854578]",0.0,0.0,0.0
2026-06-17T00:55:35,1,4,1.023316578330245,"[1.0, 1.0, 1.0, 1.0, 1.023316578330245]","[1.0, 1.0, 1.0, 1.0, 0.0]","[100.02239656618957, 118.34489110350947, 97.572488530544, 129.58470614604582, 86.3083408470751]","[32.978824821312486, 25.951356266853658, 6.686697753110635, 67.26211719799997, 23.296258832175006]","[100.02239656618957, 118.34489110350947, 97.572488530544, 129.58470614604582, 86.3083408470751]","[32.978824821312486, 25.951356266853658, 6.686697753110635, 67.26211719799997, 23.296258832175006]","[100.02239656618957, 118.34489110350947, 97.572488530544, 129.58470614604582, 86.3083408470751]","[32.978824821312486, 25.951356266853658, 6.686697753110635, 67.26211719799997, 23.296258832175006]",0.0,0.0,0.0
2026-06-17T00:55:35,2,4,1.0471768194855202,"[1.0, 1.0, 1.0, 1.0, 1.0471768194855202]","[1.0, 1.0, 1.0, 1.0, 0.0]","[103.88906256647492, 122.52203195281345, 101.37366992440764, 134.0761570522904, 89.99309544555884]","[33.57381521050197, 26.42700256554754, 6.815962331606205, 68.43497396043584, 23.77053438030454]","[103.88906256647492, 122.52203195281345, 101.37366992440764, 134.0761570522904, 89.99309544555884]","[33.57381521050197, 26.42700256554754, 6.815962331606205, 68.43497396043584, 23.77053438030454]","[103.88906256647492, 122.52203195281345, 101.37366992440764, 134.0761570522904, 89.99309544555884]","[33.57381521050197, 26.42700256554754, 6.815962331606205, 68.43497396043584, 23.77053438030454]",0.0,0.0,0.0
2026-06-17T00:55:35,3,4,1.0715933998226712,"[1.0, 1.0, 1.0, 1.0, 1.0715933998226712]","[1.0, 1.0, 1.0, 1.0, 0.0]","[108.02010933195777, 126.97855556453227, 105.43606789839419, 138.86217803359204, 93.93119272523079]","[34.19755525265418, 26.925631867444363, 6.951472913129124, 69.66450260448138, 24.26561279464168]","[108.02010933195777, 126.97855556453227, 105.43606789839419, 138.86217803359204, 93.93119272523079]","[34.19755525265418, 26.925631867444363, 6.951472913129124, 69.66450260448138, 24.26561279464168]","[108.02010933195777, 126.97855556453227, 105.43606789839419, 138.86217803359204, 93.93119272523079]","[34.19755525265418, 26.925631867444363, 6.951472913129124, 69.66450260448138, 24.26561279464168]",0.0,0.0,0.0
2026-06-17T00:55:35,4,4,1.0965792912678098,"[1.0, 1.0, 1.0, 1.0, 1.0965792912678098]","[1.0, 1.0, 1.0, 1.0, 0.0]","[112.43849744115005, 131.73833951667314, 109.78244961969341, 143.96757499488834, 98.14479761584859]","[34.85180227493517, 27.448649012315165, 7.093611285620045, 70.95416720802413, 24.78282255834693]","[112.43849744115005, 131.73833951667314, 109.78244961969341, 143.96757499488834, 98.14479761584859]","[34.85180227493517, 27.448649012315165, 7.093611285620045, 70.95416720802413, 24.78282255834693]","[112.43849744115005, 131.73833951667314, 109.78244961969341, 143.96757499488834, 98.14479761584859]","[34.85180227493517, 27.448649012315165, 7.093611285620045, 70.95416720802413, 24.78282255834693]",0.0,0.0,0.0
2026-06-17T00:55:35,5,4,1.1221477682079803,"[1.0, 1.0, 1.0, 1.0, 1.1221477682079803]","[1.0, 1.0, 1.0, 1.0, 0.0]","[117.16958004464865, 136.82772187677065, 114.43796050259682, 149.41968308705196, 102.65841864000384]","[35.53844376070809, 27.997562889197223, 7.242787514091431, 72.30768841540842, 25.323606746414544]","[117.16958004464865, 136.82772187677065, 114.43796050259682, 149.41968308705196, 102.65841864000384]","[35.53844376070809, 27.997562889197223, 7.242787514091431, 72.30768841540842, 25.323606746414544]","[117.16958004464865, 136.82772187677065, 114.43796050259682, 149.41968308705196, 102.65841864000384]","[35.53844376070809, 27.997562889197223, 7.242787514091431, 72.30768841540842, 25.323606746414544]",0.0,0.0,0.0
2026-06-17T00:55:35,6,4,1.148312414543511,"[1.0, 1.0, 1.0, 1.0, 1.148312414543511]","[1.0, 1.0, 1.0, 1.0, 0.0]","[122.24139097735025, 142.2757951790637, 119.43041108368911, 155.24866662147707, 107.49919545059709]","[36.25950858907706, 28.57399542149284, 7.399442382473534, 73.72906559304532, 25.889534272913416]","[122.24139097735025, 142.27579517906364, 119.4304110836891, 155.24866662147704, 107.49919545059709]","[36.25950858907706, 28.573995421492832, 7.399442382473533, 73.7290655930453, 25.889534272913412]","[122.24139097735025, 142.27579517906364, 119.4304110836891, 155.24866662147704, 107.49919545059709]","[36.25950858907706, 28.573995421492832, 7.399442382473533, 73.7290655930453, 25.889534272913412]",5.728578676879116e-14,5.728578676879116e-14,0.0
2026-06-17T00:55:35,7,4,1.1750871309048077,"[1.0, 1.0, 1.0, 1.0, 1.1750871309048077]","[1.0, 1.0, 1.0, 1.0, 0.0]","[127.68497200928486, 148.11474011564508, 124.79060291430527, 161.48785928110127, 112.69722604658415]","[37.017179377035475, 29.1796914335105, 7.564050075006634, 75.22260115849822, 26.482312231961025]","[127.68497200928486, 148.11474011564508, 124.79060291430527, 161.48785928110127, 112.69722604658415]","[37.017179377035475, 29.1796914335105, 7.564050075006634, 75.22260115849822, 26.482312231961025]","[127.68497200928486, 148.11474011564508, 124.79060291430527, 161.48785928110127, 112.69722604658415]","[37.017179377035475, 29.1796914335105, 7.564050075006634, 75.22260115849822, 26.482312231961025]",0.0,0.0,0.0
2026-06-17T00:55:35,8,4,1.2024861420374122,"[1.0, 1.0, 1.0, 1.0, 1.2024861420374122]","[1.0, 1.0, 1.0, 1.0, 0.0]","[133.5347451340459, 154.38020490356598, 130.55269935594413, 168.17415065362474, 118.28593969041181]","[37.813806044954354, 29.81652949496662, 7.737121123409851, 76.79292732104042, 27.103799429213534]","[133.5347451340459, 154.38020490356598, 130.55269935594413, 168.17415065362474, 118.28593969041181]","[37.813806044954354, 29.81652949496662, 7.737121123409851, 76.79292732104042, 27.103799429213534]","[133.5347451340459, 154.38020490356598, 130.55269935594413, 168.17415065362474, 118.28593969041181]","[37.813806044954354, 29.81652949496662, 7.737121123409851, 76.79292732104042, 27.103799429213534]",0.0,0.0,0.0
2026-06-17T00:55:35,9,4,1.2305240043592616,"[1.0, 1.0, 1.0, 1.0, 1.2305240043592616]","[1.0, 1.0, 1.0, 1.0, 0.0]","[139.82893676829045, 161.1117372719707, 136.75464813721956, 175.34842610247796, 124.30252254360845]","[38.65192074071416, 30.48653385161204, 7.9192056492219685, 78.4450355003975, 27.75602120867662]","[139.82893676829045, 161.1117372719707, 136.75464813721956, 175.34842610247796, 124.30252254360845]","[38.65192074071416, 30.48653385161204, 7.9192056492219685, 78.4450355003975, 27.75602120867662]","[139.82893676829045, 161.1117372719707, 136.75464813721956, 175.34842610247796, 124.30252254360845]","[38.65192074071416, 30.48653385161204, 7.9192056492219685, 78.4450355003975, 27.75602120867662]",0.0,0.0,0.0
