run_id,input_real,input_imag,shape,original_derivative,manual_derivative,herbie_derivative,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-14T19:48:56,"[1.3, 1231.6, 0.9, 1.1, 1.4]","[0.4, 0.2, 0.5, 0.3, 0.1]","(10, 10)","[[105.45038273077576, 0.0, 0.0, 0.0, 293.2954840574934, 86.58324805769891, 0.0, 0.0, 0.0, -73.02608132418432], [96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868468, 85.8612933545694, -8.221531772612682, 0.0, 0.0, -1048.978928272303], [94.51997986098036, 0.0, 11.03005698241982, 0.0, 289.39637872487066, 81.82642399521842, 0.0, 12.384328612488547, 0.0, -51.8835511509068], [99.73410217086867, 0.0, 0.0, 26.767644979278582, 310.4201200030453, 84.33385541282371, 0.0, 0.0, 22.539520608367532, -67.58586229003048], [100.61462484125076, 0.0, 0.0, 0.0, 292.1023195854688, 78.61310284942684, 0.0, 0.0, 0.0, -71.96135499089219], [-86.58324805769891, 0.0, 0.0, 0.0, 73.02608132418432, 105.45038273077576, 0.0, 0.0, 0.0, 293.2954840574934], [-85.86129335456938, 8.221531772612682, 0.0, 0.0, 1048.978928272303, 96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868468], [-81.82642399521842, 0.0, -12.384328612488547, 0.0, 51.8835511509068, 94.51997986098036, 0.0, 11.03005698241982, 0.0, 289.39637872487066], [-84.33385541282371, 0.0, 0.0, -22.539520608367532, 67.58586229003048, 99.73410217086867, 0.0, 0.0, 26.767644979278582, 310.42012000304527], [-78.61310284942682, 0.0, 0.0, 0.0, 71.96135499089219, 100.61462484125076, 0.0, 0.0, 0.0, 292.1023195854688]]","[[105.45038273077574, 0.0, 0.0, 0.0, 293.2954840574933, 86.58324805769891, 0.0, 0.0, 0.0, -73.02608132418429], [96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868466, 85.8612933545694, -8.221531772612682, 0.0, 0.0, -1048.9789282723027], [94.51997986098034, 0.0, 11.030056982419817, 0.0, 289.39637872487043, 81.82642399521842, 0.0, 12.384328612488542, 0.0, -51.88355115090677], [99.73410217086865, 0.0, 0.0, 26.76764497927858, 310.4201200030452, 84.3338554128237, 0.0, 0.0, 22.53952060836753, -67.58586229003046], [100.61462484125076, 0.0, 0.0, 0.0, 292.10231958546876, 78.61310284942684, 0.0, 0.0, 0.0, -71.96135499089215], [-86.5832480576989, 0.0, 0.0, 0.0, 73.0260813241843, 105.45038273077574, 0.0, 0.0, 0.0, 293.2954840574933], [-85.86129335456938, 8.221531772612682, 0.0, 0.0, 1048.9789282723027, 96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868466], [-81.8264239952184, 0.0, -12.384328612488542, 0.0, 51.88355115090677, 94.51997986098034, 0.0, 11.030056982419815, 0.0, 289.39637872487043], [-84.3338554128237, 0.0, 0.0, -22.53952060836753, 67.58586229003046, 99.73410217086865, 0.0, 0.0, 26.76764497927858, 310.42012000304516], [-78.61310284942682, 0.0, 0.0, 0.0, 71.96135499089216, 100.61462484125076, 0.0, 0.0, 0.0, 292.10231958546876]]","[[105.45038273077574, 0.0, 0.0, 0.0, 293.2954840574933, 86.58324805769891, 0.0, 0.0, 0.0, -73.02608132418429], [96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868466, 85.8612933545694, -8.221531772612682, 0.0, 0.0, -1048.9789282723027], [94.51997986098034, 0.0, 11.030056982419817, 0.0, 289.39637872487043, 81.82642399521842, 0.0, 12.384328612488542, 0.0, -51.88355115090677], [99.73410217086865, 0.0, 0.0, 26.76764497927858, 310.4201200030452, 84.3338554128237, 0.0, 0.0, 22.53952060836753, -67.58586229003046], [100.61462484125076, 0.0, 0.0, 0.0, 292.10231958546876, 78.61310284942684, 0.0, 0.0, 0.0, -71.96135499089215], [-86.5832480576989, 0.0, 0.0, 0.0, 73.0260813241843, 105.45038273077574, 0.0, 0.0, 0.0, 293.2954840574933], [-85.86129335456938, 8.221531772612682, 0.0, 0.0, 1048.9789282723027, 96.80038968966346, 16.011478415178214, 0.0, 0.0, 10228.319776868466], [-81.8264239952184, 0.0, -12.384328612488542, 0.0, 51.88355115090677, 94.51997986098034, 0.0, 11.030056982419815, 0.0, 289.39637872487043], [-84.3338554128237, 0.0, 0.0, -22.53952060836753, 67.58586229003046, 99.73410217086865, 0.0, 0.0, 26.76764497927858, 310.42012000304516], [-78.61310284942682, 0.0, 0.0, 0.0, 71.96135499089216, 100.61462484125076, 0.0, 0.0, 0.0, 292.10231958546876]]",1.8189894035458565e-12,1.8189894035458565e-12,0.0
2026-06-14T19:51:17,"[1.3, 1231.6, 0.9, 1.1, 0.002]","[0.4, 0.2, 0.5, 0.3, 0.1]","(10, 10)","[[87.07258926880655, 0.0, 0.0, 0.0, 24.49732509006022, 59.15874351554591, 0.0, 0.0, 0.0, -8.319403376644631], [80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.3489491998234, 63.36958641704847, -3.164357545381302, 0.0, 0.0, -249.46822805729784], [78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574952, 59.33471705769743, 0.0, 3.612180220464709, 0.0, -3.0952818240464786], [83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.72866254070397, 61.84214847530271, 0.0, 0.0, 7.416530229945373, -6.975176111778337], [84.23991602792049, 0.0, 0.0, 0.0, 23.893435582028903, 56.12139591190584, 0.0, 0.0, 0.0, -11.483491172677338], [-59.1587435155459, 0.0, 0.0, 0.0, 8.319403376644631, 87.07258926880655, 0.0, 0.0, 0.0, 24.497325090060215], [-63.36958641704845, 3.1643575453813018, 0.0, 0.0, 249.46822805729784, 80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.3489491998234], [-59.33471705769743, 0.0, -3.6121802204647095, 0.0, 3.0952818240464786, 78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574952], [-61.84214847530271, 0.0, 0.0, -7.416530229945374, 6.975176111778337, 83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.72866254070397], [-56.121395911905836, 0.0, 0.0, 0.0, 11.483491172677336, 84.23991602792049, 0.0, 0.0, 0.0, 23.893435582028903]]","[[87.07258926880655, 0.0, 0.0, 0.0, 24.4973250900602, 59.15874351554591, 0.0, 0.0, 0.0, -8.319403376644662], [80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.348949199823, 63.36958641704847, -3.164357545381302, 0.0, 0.0, -249.46822805730108], [78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574945, 59.33471705769743, 0.0, 3.6121802204647095, 0.0, -3.095281824046509], [83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.728662540703954, 61.84214847530271, 0.0, 0.0, 7.416530229945373, -6.9751761117783735], [84.23991602792049, 0.0, 0.0, 0.0, 23.893435582028893, 56.12139591190584, 0.0, 0.0, 0.0, -11.483491172677361], [-59.1587435155459, 0.0, 0.0, 0.0, 8.319403376644662, 87.07258926880655, 0.0, 0.0, 0.0, 24.4973250900602], [-63.36958641704845, 3.1643575453813018, 0.0, 0.0, 249.46822805730108, 80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.348949199823], [-59.33471705769743, 0.0, -3.6121802204647095, 0.0, 3.0952818240465088, 78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574945], [-61.84214847530271, 0.0, 0.0, -7.416530229945374, 6.9751761117783735, 83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.728662540703954], [-56.121395911905836, 0.0, 0.0, 0.0, 11.483491172677361, 84.23991602792049, 0.0, 0.0, 0.0, 23.89343558202889]]","[[87.07258926880655, 0.0, 0.0, 0.0, 24.4973250900602, 59.15874351554591, 0.0, 0.0, 0.0, -8.319403376644662], [80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.348949199823, 63.36958641704847, -3.164357545381302, 0.0, 0.0, -249.46822805730108], [78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574945, 59.33471705769743, 0.0, 3.6121802204647095, 0.0, -3.095281824046509], [83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.728662540703954, 61.84214847530271, 0.0, 0.0, 7.416530229945373, -6.9751761117783735], [84.23991602792049, 0.0, 0.0, 0.0, 23.893435582028893, 56.12139591190584, 0.0, 0.0, 0.0, -11.483491172677361], [-59.1587435155459, 0.0, 0.0, 0.0, 8.319403376644662, 87.07258926880655, 0.0, 0.0, 0.0, 24.4973250900602], [-63.36958641704845, 3.1643575453813018, 0.0, 0.0, 249.46822805730108, 80.42568087633323, 5.988775747236005, 0.0, 0.0, 2479.348949199823], [-59.33471705769743, 0.0, -3.6121802204647095, 0.0, 3.0952818240465088, 78.14527104765008, 0.0, 3.5440013300600905, 0.0, 23.533892613574945], [-61.84214847530271, 0.0, 0.0, -7.416530229945374, 6.9751761117783735, 83.3593933575384, 0.0, 0.0, 11.456462356930329, 28.728662540703954], [-56.121395911905836, 0.0, 0.0, 0.0, 11.483491172677361, 84.23991602792049, 0.0, 0.0, 0.0, 23.89343558202889]]",3.240074875066057e-12,3.240074875066057e-12,0.0
2026-06-14T19:51:28,"[1.3, 1231.6, 0.9, 1.1, 2e-09]","[0.4, 0.2, 0.5, 0.3, 0.1]","(10, 10)","[[87.06053884473091, 0.0, 0.0, 0.0, 24.416985968539638, 59.1407611113753, 0.0, 0.0, 0.0, -8.296417440316922], [80.41494388629556, 5.982203803885865, 0.0, 0.0, 2474.363818161725, 63.35483847642421, -3.161041527373558, 0.0, 0.0, -248.96342692922093], [78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503312, 59.31996911707318, 0.0, 3.6064282726915993, 0.0, -3.08273367911551], [83.34865636750072, 0.0, 0.0, 11.446422727086814, 28.639869209763805, 61.82740053467845, 0.0, 0.0, 7.406613998830425, -6.954875940634155], [84.22917903788282, 0.0, 0.0, 0.0, 23.806142933490523, 56.10664797128159, 0.0, 0.0, 0.0, -11.459824005116287], [-59.1407611113753, 0.0, 0.0, 0.0, 8.296417440316922, 87.06053884473091, 0.0, 0.0, 0.0, 24.416985968539638], [-63.354838476424206, 3.161041527373558, 0.0, 0.0, 248.96342692922093, 80.41494388629556, 5.982203803885864, 0.0, 0.0, 2474.363818161725], [-59.31996911707317, 0.0, -3.6064282726915993, 0.0, 3.08273367911551, 78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503312], [-61.827400534678446, 0.0, 0.0, -7.406613998830425, 6.954875940634155, 83.34865636750072, 0.0, 0.0, 11.446422727086816, 28.639869209763805], [-56.10664797128158, 0.0, 0.0, 0.0, 11.459824005116287, 84.22917903788282, 0.0, 0.0, 0.0, 23.806142933490523]]","[[87.06053884473091, 0.0, 0.0, 0.0, 24.41698596853963, 59.1407611113753, 0.0, 0.0, 0.0, -8.296417440316958], [80.41494388629556, 5.982203803885865, 0.0, 0.0, 2474.363818161725, 63.35483847642421, -3.161041527373558, 0.0, 0.0, -248.9634269292243], [78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503312, 59.31996911707318, 0.0, 3.6064282726915993, 0.0, -3.0827336791155426], [83.34865636750072, 0.0, 0.0, 11.446422727086816, 28.639869209763805, 61.82740053467846, 0.0, 0.0, 7.406613998830426, -6.954875940634196], [84.22917903788282, 0.0, 0.0, 0.0, 23.80614293349052, 56.10664797128159, 0.0, 0.0, 0.0, -11.459824005116316], [-59.1407611113753, 0.0, 0.0, 0.0, 8.296417440316958, 87.06053884473091, 0.0, 0.0, 0.0, 24.41698596853963], [-63.354838476424206, 3.161041527373558, 0.0, 0.0, 248.9634269292243, 80.41494388629556, 5.982203803885864, 0.0, 0.0, 2474.363818161725], [-59.31996911707317, 0.0, -3.6064282726915993, 0.0, 3.082733679115543, 78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503316], [-61.827400534678446, 0.0, 0.0, -7.4066139988304265, 6.954875940634196, 83.34865636750072, 0.0, 0.0, 11.446422727086816, 28.639869209763802], [-56.10664797128158, 0.0, 0.0, 0.0, 11.459824005116317, 84.22917903788282, 0.0, 0.0, 0.0, 23.80614293349052]]","[[87.06053884473091, 0.0, 0.0, 0.0, 24.41698596853963, 59.1407611113753, 0.0, 0.0, 0.0, -8.296417440316958], [80.41494388629556, 5.982203803885865, 0.0, 0.0, 2474.363818161725, 63.35483847642421, -3.161041527373558, 0.0, 0.0, -248.9634269292243], [78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503312, 59.31996911707318, 0.0, 3.6064282726915993, 0.0, -3.0827336791155426], [83.34865636750072, 0.0, 0.0, 11.446422727086816, 28.639869209763805, 61.82740053467846, 0.0, 0.0, 7.406613998830426, -6.954875940634196], [84.22917903788282, 0.0, 0.0, 0.0, 23.80614293349052, 56.10664797128159, 0.0, 0.0, 0.0, -11.459824005116316], [-59.1407611113753, 0.0, 0.0, 0.0, 8.296417440316958, 87.06053884473091, 0.0, 0.0, 0.0, 24.41698596853963], [-63.354838476424206, 3.161041527373558, 0.0, 0.0, 248.9634269292243, 80.41494388629556, 5.982203803885864, 0.0, 0.0, 2474.363818161725], [-59.31996911707317, 0.0, -3.6064282726915993, 0.0, 3.082733679115543, 78.13453405761241, 0.0, 3.5390926806375473, 0.0, 23.455478429503316], [-61.827400534678446, 0.0, 0.0, -7.4066139988304265, 6.954875940634196, 83.34865636750072, 0.0, 0.0, 11.446422727086816, 28.639869209763802], [-56.10664797128158, 0.0, 0.0, 0.0, 11.459824005116317, 84.22917903788282, 0.0, 0.0, 0.0, 23.80614293349052]]",3.382183422218077e-12,3.382183422218077e-12,0.0
2026-06-14T19:52:46,"[1.3, 1231.6, 0.9, 1.1, 1e-08]","[0.4, 0.2, 0.5, 0.3, 1e-08]","(10, 10)","[[86.13374207983155, 0.0, 0.0, 0.0, 25.203196406585988, 59.696804224132215, 0.0, 0.0, 0.0, -4.220004537467949], [79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937159118695, 63.85345610581952, -2.8250445384490743, 0.0, 0.0, 0.9018631998744951], [77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.725992544973856, 59.8185867464691, 0.0, 3.8368536590867506, 0.0, 0.8716420532460845], [82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.2710522454743, 62.326018164074384, 0.0, 0.0, 7.88251360584523, -2.4635802898798254], [83.466952360456, 0.0, 0.0, 0.0, 24.615438835039917, 56.60526560067751, 0.0, 0.0, 0.0, -7.067894001912155], [-59.69680422413221, 0.0, 0.0, 0.0, 4.220004537467949, 86.13374207983155, 0.0, 0.0, 0.0, 25.203196406585988], [-63.85345610581951, 2.825044538449074, 0.0, 0.0, -0.9018631998744951, 79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937159118695], [-59.818586746469094, 0.0, -3.836853659086751, 0.0, -0.8716420532460845, 77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.725992544973856], [-62.32601816407437, 0.0, 0.0, -7.88251360584523, 2.4635802898798254, 82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.2710522454743], [-56.605265600677505, 0.0, 0.0, 0.0, 7.067894001912155, 83.466952360456, 0.0, 0.0, 0.0, 24.615438835039917]]","[[86.13374207983155, 0.0, 0.0, 0.0, 25.20319608452406, 59.696804224132215, 0.0, 0.0, 0.0, -4.220004549597063], [79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937128402989, 63.85345610581952, -2.8250445384490743, 0.0, 0.0, 0.901856848488731], [77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.72599225413871, 59.8185867464691, 0.0, 3.8368536590867506, 0.0, 0.8716419819922786], [82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.271051877645128, 62.326018164074384, 0.0, 0.0, 7.88251360584523, -2.463580334074511], [83.466952360456, 0.0, 0.0, 0.0, 24.615438570645402, 56.60526560067751, 0.0, 0.0, 0.0, -7.067894001803407], [-59.69680422413221, 0.0, 0.0, 0.0, 4.220004549597063, 86.13374207983155, 0.0, 0.0, 0.0, 25.20319608452406], [-63.85345610581951, 2.825044538449074, 0.0, 0.0, -0.901856848488731, 79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937128402989], [-59.818586746469094, 0.0, -3.836853659086751, 0.0, -0.8716419819922786, 77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.72599225413871], [-62.32601816407437, 0.0, 0.0, -7.88251360584523, 2.46358033407451, 82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.271051877645128], [-56.605265600677505, 0.0, 0.0, 0.0, 7.067894001803407, 83.466952360456, 0.0, 0.0, 0.0, 24.615438570645402]]","[[86.13374207983155, 0.0, 0.0, 0.0, 25.20319608452406, 59.696804224132215, 0.0, 0.0, 0.0, -4.220004549597063], [79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937128402989, 63.85345610581952, -2.8250445384490743, 0.0, 0.0, 0.901856848488731], [77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.72599225413871, 59.8185867464691, 0.0, 3.8368536590867506, 0.0, 0.8716419819922786], [82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.271051877645128, 62.326018164074384, 0.0, 0.0, 7.88251360584523, -2.463580334074511], [83.466952360456, 0.0, 0.0, 0.0, 24.615438570645402, 56.60526560067751, 0.0, 0.0, 0.0, -7.067894001803407], [-59.69680422413221, 0.0, 0.0, 0.0, 4.220004549597063, 86.13374207983155, 0.0, 0.0, 0.0, 25.20319608452406], [-63.85345610581951, 2.825044538449074, 0.0, 0.0, -0.901856848488731, 79.65271720886838, 6.131163440712404, 0.0, 0.0, 2486.937128402989], [-59.818586746469094, 0.0, -3.836853659086751, 0.0, -0.8716419819922786, 77.3723073801856, 0.0, 3.240012009528516, 0.0, 23.72599225413871], [-62.32601816407437, 0.0, 0.0, -7.88251360584523, 2.46358033407451, 82.58642969007391, 0.0, 0.0, 10.926878405786283, 29.271051877645128], [-56.605265600677505, 0.0, 0.0, 0.0, 7.067894001803407, 83.466952360456, 0.0, 0.0, 0.0, 24.615438570645402]]",3.071570608881302e-05,3.071570608881302e-05,0.0
