batch_id,test_id,varied_index,varied_value,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T20:38:11,0,1,0.0,"[1.0, 0.0, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",,,0.0
2026-06-17T20:38:11,1,1,2.2250738585072014e-308,"[1.0, 2.2250738585072014e-308, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,2,1,4.524948340105716e-308,"[1.0, 4.524948340105716e-308, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,3,1,9.20201250953636e-308,"[1.0, 9.20201250953636e-308, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,4,1,1.871337037710476e-307,"[1.0, 1.871337037710476e-307, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,5,1,3.805583077699447e-307,"[1.0, 3.805583077699447e-307, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,6,1,7.73909898079576e-307,"[1.0, 7.73909898079576e-307, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,7,1,1.5738364348302862e-306,"[1.0, 1.5738364348302862e-306, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,8,1,3.200580752029569e-306,"[1.0, 3.200580752029569e-306, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
2026-06-17T20:38:11,9,1,6.508755880575017e-306,"[1.0, 6.508755880575017e-306, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[3.856555012347174, 2.479526399448329, 4.6603507209893245, 3.682362803025831, 3.525964808506601]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",4.6603507209893245,4.6603507209893245,0.0
