run_id,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-14T22:14:46,"[1.3, 1231.6, 0.9, 1.1, 1e-08]","[0.4, 0.2, 0.5, 0.3, 1e-08]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]","[Infinity, Infinity, Infinity, Infinity, Infinity]","[-549.6535561831419, 5.115129204493675e+30, -549.541275298729, -550.0429410502048, -551.7787629244104]","[-243.12274001737717, 1.2102723929574744e+28, -242.39280784655006, -242.43593073335458, -243.7532331308341]",nan,nan,inf
2026-06-14T22:15:52,"[1.3, 1231.6, 0.9, 1.1, 1.2]","[0.4, 0.2, 0.5, 0.3, 0.9]","[NaN, NaN, NaN, NaN, NaN]","[NaN, NaN, NaN, NaN, NaN]","[-Infinity, -Infinity, -Infinity, -Infinity, -Infinity]","[Infinity, Infinity, Infinity, Infinity, Infinity]","[-549.6535561831419, 5.115129204493675e+30, -549.541275298729, -550.0429410502048, -549.9860538052669]","[-243.12274001737717, 1.2102723929574744e+28, -242.39280784655006, -242.43593073335458, -242.1469939092656]",nan,nan,inf
2026-06-14T22:16:05,"[1.3, 11.6, 0.9, 1.1, 1.2]","[0.4, 0.2, 0.5, 0.3, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[1714277956575.7402, 1714277956597.8953, 1714277956575.8525, 1714277956575.3508, 1714277956575.4077]","[1415463493116.8623, 1415463493117.4092, 1415463493117.5923, 1415463493117.549, 1415463493117.8381]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775175]","[9.995756224004726, 10.542493596940263, 10.72568839483182, 10.682565508027357, 10.971502332116296]",2223125235524.439,30.1107537000258,2223125235495.978
2026-06-14T22:19:03,"[1.3, 11.6, 0.9, 1.1, 1.2]","[0.4, 0.2, 0.5, 0.3, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775174]","[9.995756224004726, 10.542493596940263, 10.725688394831819, 10.682565508027357, 10.971502332116296]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775175]","[9.995756224004726, 10.542493596940263, 10.72568839483182, 10.682565508027357, 10.971502332116296]",30.1107537000258,30.1107537000258,1.7763568394002505e-15
2026-06-14T22:31:28,"[1.3, 11.6, 0.9, 1.1, 1.2]","[0.4, 0.2, 0.5, 0.3, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775174]","[9.995756224004726, 10.542493596940263, 10.725688394831819, 10.682565508027357, 10.971502332116296]","[6.049634373900286, 28.204845632303876, 6.161915258313001, 5.66024950683738, 5.717136751775174]","[9.995756224004724, 10.542493596940263, 10.725688394831819, 10.682565508027357, 10.971502332116296]",30.1107537000258,30.1107537000258,1.7763568394002505e-15
2026-06-15T00:31:14,"[1.3, 11.6, 0.9, 1.1, 1.2]","[0.4, 0.2, 0.5, 0.3, 0.9]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775174]","[9.995756224004726, 10.542493596940263, 10.725688394831819, 10.682565508027357, 10.971502332116296]","[6.049634373900286, 28.204845632303876, 6.161915258313002, 5.6602495068373795, 5.717136751775174]","[9.995756224004726, 10.542493596940263, 10.725688394831819, 10.682565508027357, 10.971502332116296]",30.1107537000258,30.1107537000258,0.0
