batch_id,test_id,varied_index,varied_value,input_real,input_imag,original_output_real,original_output_imag,manual_output_real,manual_output_imag,herbie_output_real,herbie_output_imag,manual_vs_original,herbie_vs_original,manual_vs_herbie
2026-06-17T20:40:06,0,1,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.856555012347174, 5.4795263994483285, 5.6603507209893245, 4.682362803025831, 4.5259648085066]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.856555012347174, 5.4795263994483285, 5.6603507209893245, 4.682362803025831, 4.5259648085066]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.856555012347174, 5.4795263994483285, 5.6603507209893245, 4.682362803025831, 4.5259648085066]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",0.0,0.0,0.0
2026-06-17T20:40:06,1,1,1.023316578330245,"[1.0, 1.023316578330245, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.879871590677419, 5.549476134439064, 5.68366729931957, 4.7056793813560756, 4.549281386836846]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.8798715906774195, 5.549476134439064, 5.68366729931957, 4.7056793813560756, 4.549281386836846]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.8798715906774195, 5.549476134439064, 5.68366729931957, 4.7056793813560756, 4.549281386836846]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",8.881784197001252e-16,8.881784197001252e-16,0.0
2026-06-17T20:40:06,2,1,1.0471768194855202,"[1.0, 1.0471768194855202, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.903731831832695, 5.62105685790489, 5.707527540474844, 4.729539622511351, 4.573141627992121]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.903731831832694, 5.62105685790489, 5.707527540474844, 4.729539622511352, 4.573141627992121]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.903731831832694, 5.62105685790489, 5.707527540474844, 4.729539622511352, 4.573141627992121]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",8.881784197001252e-16,8.881784197001252e-16,0.0
2026-06-17T20:40:06,3,1,1.0715933998226712,"[1.0, 1.0715933998226712, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.928148412169845, 5.694306598916343, 5.7319441208119954, 4.753956202848503, 4.597558208329273]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.928148412169845, 5.694306598916342, 5.7319441208119954, 4.753956202848502, 4.597558208329271]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.928148412169845, 5.694306598916342, 5.7319441208119954, 4.753956202848502, 4.597558208329271]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",1.7763568394002505e-15,1.7763568394002505e-15,0.0
2026-06-17T20:40:06,4,1,1.0965792912678098,"[1.0, 1.0965792912678098, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.953134303614984, 5.769264273251759, 5.7569300122571345, 4.77894209429364, 4.6225440997744105]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.953134303614984, 5.769264273251759, 5.7569300122571345, 4.778942094293641, 4.6225440997744105]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.953134303614984, 5.769264273251759, 5.7569300122571345, 4.778942094293641, 4.6225440997744105]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",8.881784197001252e-16,8.881784197001252e-16,0.0
2026-06-17T20:40:06,5,1,1.1221477682079803,"[1.0, 1.1221477682079803, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[4.978702780555155, 5.84596970407227, 5.782498489197305, 4.804510571233812, 4.648112576714581]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.978702780555155, 5.84596970407227, 5.782498489197305, 4.804510571233811, 4.648112576714581]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[4.978702780555155, 5.84596970407227, 5.782498489197305, 4.804510571233811, 4.648112576714581]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",8.881784197001252e-16,8.881784197001252e-16,0.0
2026-06-17T20:40:06,6,1,1.148312414543511,"[1.0, 1.148312414543511, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[5.004867426890685, 5.924463643078862, 5.808663135532836, 4.830675217569342, 4.674277223050112]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.004867426890685, 5.924463643078862, 5.808663135532836, 4.830675217569342, 4.674277223050112]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.004867426890685, 5.924463643078862, 5.808663135532836, 4.830675217569342, 4.674277223050112]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",0.0,0.0,0.0
2026-06-17T20:40:06,7,1,1.1750871309048077,"[1.0, 1.1750871309048077, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[5.031642143251982, 6.004787792162752, 5.835437851894132, 4.8574499339306385, 4.701051939411409]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.031642143251982, 6.004787792162752, 5.835437851894132, 4.8574499339306385, 4.701051939411409]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.031642143251982, 6.004787792162752, 5.835437851894132, 4.8574499339306385, 4.701051939411409]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",0.0,0.0,0.0
2026-06-17T20:40:06,8,1,1.2024861420374122,"[1.0, 1.2024861420374122, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[5.059041154384587, 6.086984825560566, 5.862836863026737, 4.8848489450632435, 4.728450950544013]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.059041154384587, 6.086984825560566, 5.862836863026737, 4.8848489450632435, 4.728450950544014]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.059041154384587, 6.086984825560566, 5.862836863026737, 4.8848489450632435, 4.728450950544014]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",8.881784197001252e-16,8.881784197001252e-16,0.0
2026-06-17T20:40:06,9,1,1.2305240043592616,"[1.0, 1.2305240043592616, 1.0, 1.0, 1.0]","[1.0, 0.0, 0.0, 1.0, 1.0]","[5.0870790167064355, 6.1710984125261135, 5.890874725348586, 4.912886807385092, 4.756488812865863]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.0870790167064355, 6.1710984125261135, 5.890874725348586, 4.912886807385092, 4.756488812865863]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]","[5.0870790167064355, 6.1710984125261135, 5.890874725348586, 4.912886807385092, 4.756488812865863]","[2.285183436361791, 1.315654730555551, 0.9621706065439379, 3.25650407492304, 2.3981029620672043]",0.0,0.0,0.0
