batch_id,result_type,all_nan,org_vs_herbie_nan,org_vs_man_nan,herbie_vs_man_nan,org_vs_herbie_max_diff,org_vs_man_max_diff,man_vs_herbie_max_diff,org_vs_herbie_max_diff_value,org_vs_man_max_diff_value,man_vs_herbie_max_diff_value
2026-06-17T00:02:27,primal,0,4,4,0,0.5145428794789993,0.5145428794789993,8.881784197001252e-16,1.871337037710476e-307,1.871337037710476e-307,0.028751071203873713
2026-06-17T00:02:27,first_order,0,501,501,0,2.7910607012951305e+137,2.7910607012951305e+137,2.842170943040401e-14,6.168940814839246e-154,6.168940814839246e-154,0.001681036930048926
2026-06-17T00:02:27,second_order,0,667,667,0,1.280958669498419e+190,1.280958669498419e+190,2.2737367544323206e-13,4.514686584930564e-103,4.514686584930564e-103,0.0
