batch_id,result_type,all_nan,org_vs_herbie_nan,org_vs_man_nan,herbie_vs_man_nan,org_vs_herbie_max_diff,org_vs_man_max_diff,man_vs_herbie_max_diff,org_vs_herbie_max_diff_value,org_vs_man_max_diff_value,man_vs_herbie_max_diff_value
2026-06-17T20:23:32,primal,0,0,0,0,2.0,2.0,0.0,2.2250738585072014e-308,2.2250738585072014e-308,2.2250738585072014e-308
2026-06-17T20:23:32,first_order,0,500,500,0,7.442828536787015e+137,7.442828536787015e+137,0.0,2.1264370166982005e-154,2.1264370166982005e-154,2.2250738585072014e-308
2026-06-17T20:23:32,second_order,0,667,667,0,4.455508415646675e+189,4.455508415646675e+189,0.0,1.915615703511538e-206,1.915615703511538e-206,2.2250738585072014e-308
